_id,workerId,taskID,forecast,treatment,timestamp
e3g3mzw9x9k7Y3XnJ,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,3,1,4,1538801280796
JNxvLm5E5XW4beyN4,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,4,0.37,4,1538801280796
wr5ttWK5xcwFt7Erz,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,5,0.82,4,1538801280797
zaJiGgpnaeTc5WwiX,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,6,0.88,4,1538801280797
6v3DxviM2vW9mLY2r,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,13,0.66,4,1538801293012
whcjdgDpBTtHQBdza,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,14,0.33,4,1538801293014
mf6w5GsNZkmbgiRK9,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,15,0.35,4,1538801293014
n9NorLuriskt9HEeR,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,16,0.6,4,1538801293015
aaFydXowt6NqJ3ymt,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,17,0.58,4,1538801293015
zJC55amBRXmJoFwij,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,18,0.42,4,1538801293016
deJ24QtXAda8KTKmt,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,7,0.75,4,1538801329025
h8FnvQxmjhBPbo9B5,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,8,0.72,4,1538801329025
g5WopYmyxQSxgMDQf,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,9,0.23,4,1538801329026
rYqxLzDbfX5i327fW,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,10,0.69,4,1538801329027
WNTcqfH3m5kzzEPEM,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,11,0.7,4,1538801329028
TgFHb5eM5SHsaMNXq,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,12,0.69,4,1538801329028
Bg69W6fwYEGZQLKXA,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,13,0.69,4,1538801352064
JBDMhiFrEg8miTKtE,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,14,0.61,4,1538801352065
zC23qTEFkcTXPD26Z,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,15,0.77,4,1538801352066
6n6heSfDk4AR7jC5o,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,16,0.68,4,1538801352066
A9rEAzpDqxYwX5fsN,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,17,0.64,4,1538801352066
gYTKJk2K2uKc96MwF,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,18,0.66,4,1538801352067
hCRbF4BMtqyfdyaPT,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,1,0.64,4,1538801386242
a75eYphpkkzt4Ct2u,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,2,0.7,4,1538801386244
3jZ7dmSLiTpGuDNpz,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,3,0.75,4,1538801386244
jTYEJLC4C2oQpYsw2,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,4,0.58,4,1538801386245
JxC23ugDorgyd3dW2,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,5,0.69,4,1538801386245
xHGKJKNTTjXmHdxz7,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,6,0.87,4,1538801386246
xnLRdCXLHrcMDz2LN,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,7,0.69,4,1538801397225
j26HZZ3K7f4XXCEBj,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,8,0.78,4,1538801397225
KryAsLRPWJMFqzNzi,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,9,0.68,4,1538801397226
aKH8CmrafD7vskBCy,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,10,0.69,4,1538801397227
k9BHpJDZFscJns7vX,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,11,0.78,4,1538801397227
gwJmAwYoMhKZ329KS,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,12,0.61,4,1538801397227
GgXH29BbDg6NuaFRN,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,13,0.85,4,1538801411841
iFTbWrzC8wZS542N3,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,14,0.64,4,1538801411842
TvPYRTgmWWxwcAEY8,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,15,0.75,4,1538801411842
LCG2M9MhLzxmSptu4,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,16,0.7,4,1538801411842
u2SQjgTfZryC5XBPY,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,17,0.78,4,1538801411843
CNwHuAYNysAPgDgnx,1eb1f62d16f670b3cf27df4dd94bb37d73f2f4d2aeb78753f464c32312c94a4a,18,0.71,4,1538801411844
FQhXZ6i3Hm33sEFg9,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,1,0.4,4,1538801502556
oFQ4sdF2iTWqx5xaz,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,2,0.51,4,1538801502560
9uBpWnNDyXsePymx8,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,3,0.65,4,1538801502568
4qZ8yxt8Ydj9uKRM5,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,4,0.37,4,1538801502570
DMkTFKwy4EJArtBSY,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,5,0.2,4,1538801502571
gyNwtu4a6nP4g2jRo,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,6,0.52,4,1538801502572
h8eyufcp8smX2yi25,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,7,0.57,4,1538801533891
erY5j2qZEgWH42ThF,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,8,0.3,4,1538801533892
nLYdiJZnGokcPfhYX,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,9,0.63,4,1538801533893
PNAxAr3nF6Ru7NhFb,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,10,0.28,4,1538801533894
kMbaK3H6zq2eYkNMf,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,11,0.25,4,1538801533895
Xu3XKBfvPEe3LDkHk,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,12,0.19,4,1538801533897
5KELCJWzuQhHwdPLL,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,1,0.5,3,1538801565658
XLEYytgpdCat5T3KP,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,2,0.5,3,1538801565658
R6nJcdATh4k23fnYd,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,3,0.25,3,1538801565658
9xpLrPX9PhYw95ta3,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,4,0.5,3,1538801565658
NpW2WhYcptwgujtgh,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,5,0.2,3,1538801565659
b5Wd3GMgRJNBxAP5S,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,6,0.5,3,1538801565659
S3kJLBwwCxRRG9c5E,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,13,0.96,4,1538801566975
uX5YYTfyyChe5RHhA,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,14,0.15,4,1538801566976
eEwWpsDm8NwgHaC57,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,15,0.37,4,1538801566976
fJYDwMBFiwxQWCZNs,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,16,0.92,4,1538801566977
kPcoKf6RWa7Merx6m,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,17,0.73,4,1538801566983
AzMpd2g2McjDuFAmd,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,18,0.1,4,1538801566983
LKJr7ZyHY5w8raWD2,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,1,0.72,2,1538801601438
8irjxjBYJ6ojXRpne,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,2,0.57,2,1538801601439
QSpXrhG5uJmTJCp72,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,3,0.2,2,1538801601440
JxsnnoaB8whpdcdh2,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,4,0.72,2,1538801601441
PZ65NsRiuActX5opP,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,5,0.24,2,1538801601443
2akcWGeoEpwqc2dYu,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,6,0.2,2,1538801601445
9HtgX82MxxdZR39kk,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,7,0.5,3,1538801614718
6gtzr8Eax2QJHthJh,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,8,0.47,3,1538801614718
pYtpKnLBGjRbTYpkK,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,9,0.15,3,1538801614719
it9QJECSRNguakqx3,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,10,0.15,3,1538801614719
yWBwDJsH9pRFonCyL,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,11,0.1,3,1538801614719
TH4euQWsn4jiM9yqe,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,12,0.44,3,1538801614719
kEefE39s2pB5WmKKw,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,1,0.4,4,1538801646565
dpzFRZKn6bbQNoWPW,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,2,0.51,4,1538801646568
bX64tWTNJfXQYRGLt,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,3,0.65,4,1538801646569
8zmrNgBFgMKAnSZvt,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,4,0.37,4,1538801646571
NpYTTy2a3aKaYSzS5,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,5,0.2,4,1538801646572
oXJP8jkBdWKh8wLGk,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,6,0.52,4,1538801646577
KofaQzG7xvadLZoNg,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,7,0.57,4,1538801648685
8tXAtXA8AMWDcRbdH,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,8,0.3,4,1538801648686
rh4Q5HCG8B3Xbs5Pi,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,9,0.63,4,1538801648687
pBndaZs32inXjPQGf,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,10,0.28,4,1538801648688
auR6HyysRPd3nQTYn,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,11,0.25,4,1538801648694
TNTDNGWNbG3Hx3TYw,8aa1df11e279e4048df968db08fdeadf0ef58005d97f2b45379c5ff4add5039a,12,0.19,4,1538801648695
KQ3vLongM32F5jAG4,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,7,0.76,2,1538801658166
BSNDNzbXgZMCyhHYi,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,8,0.68,2,1538801658168
vecunbHr32Fed6aDx,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,9,0.71,2,1538801658168
6KKqoF9XkYN6RWavZ,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,10,0.27,2,1538801658169
xPQ9FegR3kKYKuTnj,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,11,0.29,2,1538801658170
YfN2QLzPRPLPodXMr,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,12,0.52,2,1538801658171
hWop2RQJTTgFZtf5W,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,1,0.77,2,1538801668813
8BAShYAwoP4JHuBLM,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,2,0.11,2,1538801668815
yGYcSpAzRoocXN4Gr,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,3,0.53,2,1538801668817
vti9FCYaktaSsPaTv,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,4,0.8,2,1538801668817
DjY2cotLAfiefF6Hg,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,5,0.11,2,1538801668819
hX9puycTBzCLzuNf9,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,6,0.74,2,1538801668820
tCuzMsQb5b6nsYkaN,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,0.56,1,1538801680709
yqhBWDdzq2s2oivBG,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,2,0,1,1538801680712
KkfkFhQdqBQeosYMx,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,3,1,1,1538801680712
Y8qA437uiRfXbfkK7,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,4,0,1,1538801680714
Sjx6puse2qwCky3sX,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,5,0,1,1538801680716
JdJzR7svWh9nca3kR,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,6,0.93,1,1538801680717
JHihg6oyXxGPXtZQC,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,13,0.28,2,1538801685160
wQjkaZk3yn7H4pG54,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,14,0.26,2,1538801685161
B4beRmQJpbojRJkJu,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,15,0.18,2,1538801685162
gjtPs3TNSCkkh6dTR,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,16,0.36,2,1538801685163
T6PvwndyMMM3v7h8Z,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,17,0.33,2,1538801685165
xBRCbwgQ4DTuseFZE,78ef9879a4a32a97b61b6189115a89d59ed1b616c921e385fe44387f46ba8290,18,0.12,2,1538801685165
vhtzu8BcvMu9kj5NJ,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,13,0.4,3,1538801691458
96Y8CzGqQNFkxhWgF,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,14,0.6,3,1538801691458
XM9n5EkoAXYaeXSGY,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,15,0.31,3,1538801691459
LBBZiMGF3CzmPcQim,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,16,0.16,3,1538801691459
hYb45Q2HoGBBnJiqz,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,17,0.39,3,1538801691459
piSDrdZPdDkjm6wKd,c8023e47fa6b09054f0385db9a77e9b52cb3b6c712715844511f145cd5446cfe,18,0.15,3,1538801691459
DXBofg4zqJcSHrrTp,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,7,1,2,1538801780392
Ab7ccL39BGAwDh8e4,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,8,0.25,2,1538801780394
vawtKXjk4EvbSqNAj,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,9,0,2,1538801780395
NajTY3jqGzZPg5pna,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,10,0.76,2,1538801780395
36rrp5nvfxYyA3PuD,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,11,0.12,2,1538801780396
5BPNae5mfL4LKNNad,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,12,0.06,2,1538801780397
D2DyB9j5ZR7pQHDjN,3e76218adc3d10bf17621c7d95e4061d223be31a5edd99d9405a3cbbdffadb92,1,0.5,4,1538801843272
zMJd5kq5zHy4NNtR4,3e76218adc3d10bf17621c7d95e4061d223be31a5edd99d9405a3cbbdffadb92,2,0.91,4,1538801843274
HE7XoY4TFQosmbGmB,3e76218adc3d10bf17621c7d95e4061d223be31a5edd99d9405a3cbbdffadb92,3,0.07,4,1538801843274
ALdZnzkJxq3DR9QN4,3e76218adc3d10bf17621c7d95e4061d223be31a5edd99d9405a3cbbdffadb92,4,0.81,4,1538801843274
YMNJpuspcQAZMrMLm,3e76218adc3d10bf17621c7d95e4061d223be31a5edd99d9405a3cbbdffadb92,5,0.11,4,1538801843275
XTPSgPEBNnrE4AFmm,3e76218adc3d10bf17621c7d95e4061d223be31a5edd99d9405a3cbbdffadb92,6,0.14,4,1538801843275
yWdctX5vLZm7WXaGf,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,13,0.79,2,1538801934585
Qb6FA95baieRLEEA6,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,14,0.79,2,1538801934587
tiKPdikuJBT3Fayu5,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,15,0,2,1538801934588
9DJwtxqrQXp2eNbWa,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,16,0,2,1538801934589
fAoqz9kc9duW5xd3c,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,17,0.7,2,1538801934590
p9LmtBnBhXprW7P9H,9b3e0ec3811253fd7001180d437a0403a0b48b1426dd86f5475fc3984875768c,18,0.7,2,1538801934591
HRd9MFpNPCzuHEKoR,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,1,0.63,4,1538801954078
2ctvux4eX48FcNZDP,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,2,0.75,4,1538801954080
RGd3zCiiJCxbaW7xu,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,3,0.39,4,1538801954080
Dzo3AHt5WuogTrdHB,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,4,0.74,4,1538801954081
uM9LZRNCKJ5Qkbox2,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,5,0.59,4,1538801954082
4jSwcigpwfs9snt2h,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,6,0.38,4,1538801954082
a9t2XSS2NfbSRRSkb,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,7,0.74,4,1538801962875
Er5HF67aqWteKuvwY,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,8,0.37,4,1538801962876
88annG2kvN6NqcLaX,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,9,0.63,4,1538801962877
uF9aCMQSNsyy7cBJm,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,10,0.69,4,1538801962878
imSaTTLYfpNBP5S5Z,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,11,0.35,4,1538801962878
atP7cEyQGeDsQqnuQ,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,12,0.75,4,1538801962879
CkhjmHGhqB3zhvtAd,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,13,0.74,4,1538801973584
KBQocapGrwxLfMtvZ,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,14,0.74,4,1538801973585
cASej9yh5wwjHptBR,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,15,0.68,4,1538801973585
Fi4WuADrxBxA9yAoq,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,16,0.65,4,1538801973586
hvY3gjYyJ6TSgdh5C,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,17,0.66,4,1538801973586
y3EsZtdzzdQGXZcDP,6b0ed5663822e70e42de6fc33769994768438c710a56186694b1af552220d04a,18,0.29,4,1538801973587
kcCGAo44hkQL5pP35,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,7,1,1,1538801982912
8aB7z5SBAZy3SHohe,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,8,0.63,1,1538801982914
YpPagxcvbK4fB8z4m,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,9,0.44,1,1538801982915
vNBLCJ4NGAutXNX6R,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,10,0.84,1,1538801982917
bhoan9naXJkG5P7ho,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,11,0.72,1,1538801982918
eyWRvj4ehwwAREjJc,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,12,1,1,1538801982919
iKh2wP93gZaz3KDiK,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,1,0.65,3,1538802019436
ZXZZCtw5YJRqbr8st,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,2,0.44,3,1538802019438
mtLXw2sKFg2cGnkik,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,3,0.39,3,1538802019438
TZbu9ybiMA5XZhx9C,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,4,0.65,3,1538802019439
jTesREKgmi7NSeQD3,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,5,0.65,3,1538802019439
7NKTfjP7xZWqP49RX,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,6,0.41,3,1538802019439
aMWHuHaRfcW8HQZKn,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,7,0.61,3,1538802071696
h6QzpaJz3QT7oH35B,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,8,0.44,3,1538802071697
m8GzwXWb3gCyqPLYw,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,9,0.39,3,1538802071697
BgPr9TAbXrgyhP4MR,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,10,0.2,3,1538802071697
tzzyRi8LhYNHnQWqo,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,11,0.25,3,1538802071697
jkbzZKwJPc2avrZZa,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,12,0.28,3,1538802071697
Zf4Wymukz5npLLLWr,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,13,0.44,3,1538802103972
K677MgaAYiFX24MGG,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,14,0.58,3,1538802103972
4Jir3x5Cpurb9tM9G,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,15,0.45,3,1538802103972
gbbQCtHia226qDLod,e4912acef8d20851ad59933d7f08fa6a9025b1e7dc1b2f04bb2135306c4dc69d,16,0.6,3,1538802103972
